Country,Total Energy,Fuel Combustion,  Energy Industries,      Public Electricity and Heat Production,     Petroleum Refining,      Other Energy Industries,  Manufacturing and Construction,      Iron and Steel,      Non-Ferrous Metals,      Chemicals,"      Pulp, Paper and Print","      Food, Beverages and Tobacco",      Other,  Transport ,  Other Sectors,      Commercial/Institutional,     Residential,      Agriculture / Forestry / Fisheries,  Other (Not elsewhere specified),Fugitive Emissions from Fuels,Industrial Processes and Product Use,Agriculture,Waste,Other,Indirect CO2,Total Emissions
AT,50.44570769,50.13488574,8.47637945,5.87154767,2.25921979,0.34561198,10.61889194,1.9373825,0.30258641,1.41012904,1.56069167,0.86750096,4.54060135,22.69374646,8.31822625,1.22410136,6.15400426,0.94012062,0.02764164,0.31082195,15.92948156,7.27688041,1.17370809,,,74.82577775
PL,322.2547212,300.224974,152.691013,145.4371462,3.92554366,3.32832312,27.8351361,3.06945919,1.21750499,5.81335241,1.41659571,4.28238481,12.03583901,72.25763636,47.4411886,6.01754691,31.52932402,9.89431767,,22.02974714,23.64503017,33.29698468,3.81839447,,0.41891021,383.4340407
PT,41.99221938,40.7396862,8.37242997,6.84741614,1.52501383,,6.79266041,0.0958537,,1.11310787,1.01245094,0.64438841,3.9268595,21.26153383,4.22288856,1.02710006,1.90865928,1.28712922,0.09017343,1.25253318,5.87764958,6.94129958,5.64276006,,0.12742824,60.58135684
RO,75.37664079,66.20088467,18.11529803,15.12647497,1.98283328,1.00598977,13.20125035,1.02598461,0.19654292,1.74619176,0.30978189,1.10772385,8.81502531,21.42547611,12.28588595,2.12832269,8.45256961,1.70499365,1.17297423,9.17575612,10.07772378,17.98773353,6.55057154,,,109.9926696
SI,12.45118501,12.14287274,3.41558018,3.41546455,,0.00011564,1.60536724,0.19150076,0.13114989,0.07413716,0.24182283,0.10518692,0.86156968,5.8557828,1.26145614,0.29590498,0.72907688,0.23647428,0.00468637,0.30831227,1.13891188,1.70632483,0.38021607,,,15.67663778
SK,25.74369648,25.1315911,6.4074629,3.32315716,1.89753137,1.18677437,5.92285214,2.48003258,0.08168345,0.45031049,0.26108252,0.31037103,2.33937207,7.91041683,4.82847972,1.37486238,3.13297421,0.32064313,0.06237951,0.61210538,7.53623728,1.93442671,1.92992055,,0.0395,37.18378101
FI,34.50959676,34.41806902,12.9113745,11.1623182,1.43053209,0.31852421,5.86822551,0.80341497,0.08730777,0.71127188,1.97555524,0.09862522,2.19205043,11.41840731,3.38065553,1.10778582,0.85577002,1.41709969,0.83940617,0.09152774,4.97937245,6.07491576,1.72660583,,0.05121874,47.34170954
SE,32.69354931,32.64397294,8.67715118,5.6175198,2.68703803,0.37259336,6.01418408,1.3242508,0.09930098,0.31317624,0.70905085,0.24783038,3.32057481,15.82748372,2.12515395,0.59918861,0.54023544,0.9857299,,0.04957636,6.92364307,6.51308795,0.94432761,,,47.07460794
IS,2.55578526,2.36474175,0.01050798,0.01050798,,,0.13108282,0.00131558,0.00630322,,,0.0785762,0.04488782,1.71213248,0.51026665,0.00210244,0.00469689,0.50346731,0.00075182,0.19104351,2.01719652,0.59598195,0.23358683,,,5.40255055
NO,34.73383408,32.71607708,12.69440251,1.23443655,0.59673824,10.86322773,2.81984197,0.0693241,0.20905163,0.17702786,0.12065802,0.29914059,1.94463977,14.08451288,3.0263093,1.12881229,0.57522539,1.32227162,0.09101041,2.00418577,9.32352561,4.64265046,1.43086898,,0.12455558,50.25543471
CH,35.31788808,35.25326406,3.18639917,2.82751554,0.35878706,0.00009656,4.21936707,0.24035123,0.1043073,0.52517191,0.11621078,0.61915477,2.61417108,17.79804526,9.92602032,2.96805291,6.41259497,0.54537244,0.12343224,0.06462402,3.42796937,5.88760207,1.1103235,0.00909608,0.09428742,45.84716653
